Assigned Rep,Highest Level Parent,Hospital Name,Firm Type,Hospital Type,Address,Address1,City,State,Definitive ID, # of Discharges , # of Staffed Beds , Average Daily Census , ICU Inpatient Charges , ICU Total Charges , Intensive Care Unit Beds , Intensive Care Unit Days ,Hospital Compare Overall Rating,Patient Survey (HCAHPS) Summary Star Rating, Average Length of Stay ,All Cause Hospital-Wide Readmission Rate,Accreditation Agency, Net Patient Revenue ,Net Operating Profit Margin,Fiscal Year End Date,340B Classification,Geographic Classification,Managed/Leased/Owned,Hospital ownership,Electronic Health/Medical Record - Inpatient,Computerized Physician Order Entry (CPOE)
Non Team Maike,Defense Health Agency,60th Medical Group - Travis AFB (AKA David Grant USAF Medical Center),Hospital,Department of Defense Hospital,101 Bodin Cir,Bldg 777,Fairfield,CA,551551,, 298 , -   , $-   , $-   , -   , -   ,,5, -   ,0.0%,The Joint Commission,,0.0%,,0,Urban,Owned,Governmental - Federal,Oracle Cerner,CliniComp
Non Team Maike,Defense Health Agency,633d Medical Group - Joint Base Langley-Eustis (FKA 633rd Medical Group - USAF Hospital Langley),Hospital,Department of Defense Hospital,77 Nealy Ave,,Hampton,VA,575034,, 60 , -   , $-   , $-   , -   , -   ,,0, -   ,0.0%,The Joint Commission,,0.0%,,0,Urban,Owned,Governmental - Federal,Oracle Cerner - MHS GENESIS,CliniComp
Non Team Maike,Defense Health Agency,673d Medical Group - Joint Base Elmendorf-Richardson,Hospital,Department of Defense Hospital,5955 Zeamer Ave,,Anchorage,AK,551553,, 55 , -   , $-   , $-   , -   , -   ,,0, -   ,0.0%,The Joint Commission,,0.0%,,0,Urban,Owned,Governmental - Federal,Oracle Cerner,CliniComp
Non Team Maike,Defense Health Agency,81st Medical Group - Keesler AFB,Hospital,Department of Defense Hospital,301 Fisher St,,Biloxi,MS,551554,, 60 , -   , $-   , $-   , -   , -   ,,0, -   ,0.0%,The Joint Commission,,0.0%,,0,Urban,Owned,Governmental - Federal,Oracle Cerner - MHS GENESIS,CliniComp
Non Team Maike,Defense Health Agency,88th Medical Group - Wright-Patterson Medical Center,Hospital,Department of Defense Hospital,4881 Sugar Maple Dr,,Dayton,OH,551558,, 57 , -   , $-   , $-   , -   , -   ,,0, -   ,0.0%,The Joint Commission,,0.0%,,0,Urban,Owned,Governmental - Federal,Oracle Cerner - MHS GENESIS,CliniComp
Non Team Maike,Defense Health Agency,96th Medical Group - Eglin AFB,Hospital,Department of Defense Hospital,307 Boatner Rd,Ste 114,Eglin Air Force Base,FL,551552,, 53 , -   , $-   , $-   , -   , -   ,,0, -   ,0.0%,The Joint Commission,,0.0%,,0,Urban,Owned,Governmental - Federal,Oracle Cerner - MHS GENESIS,CliniComp
Victoria,Self Regional Healthcare,Abbeville Area Medical Center,Hospital,Critical Access Hospital,420 Thomson Cir,,Abbeville,SC,3612, 355 , 25 , 9 ," $116,975 "," $116,975 ", 6 , 47 ,,0, 5.16 ,15.0%,DNV Healthcare USA Inc.," $44,773,472 ",-25.8%,30-Sep,Critical Access Hospital,Rural,Owned,Governmental - County,athenahealth - athenaClinicals,Epic Systems Corporation
Khirstyn,Abbeville General Hospital,Abbeville General Hospital,Hospital,Short Term Acute Care Hospital,118 N Hospital Dr,,Abbeville,LA,1830," 1,591 ", 44 , 17 ," $2,741,750 "," $2,741,750 ", 6 , 790 ,,4, 4.12 ,14.3%,The Joint Commission," $72,683,008 ",-5.1%,31-Dec,Disproportionate Share Hospital,Rural,0,Governmental - Hospital District,Oracle Cerner - Oracle Cerner-Millennium,Oracle Cerner
Non Team Maike,Allina Health,Abbott Northwestern Hospital,Hospital,Short Term Acute Care Hospital,800 E 28th St,,Minneapolis,MN,2151," 33,298 ", 605 , 467 ," $279,631,108 "," $279,631,108 ", 30 ," 7,263 ",4,3, 5.35 ,14.9%,The Joint Commission," $1,415,119,232 ",-22.2%,31-Dec,Disproportionate Share Hospital,Urban,Owned,Voluntary Nonprofit - Other,Epic Systems Corporation - ClinDoc,Epic Systems Corporation
Non Team Maike,Tenet Healthcare,Abrazo Arizona Heart Hospital,Hospital,Short Term Acute Care Hospital,1930 E Thomas Rd,,Phoenix,AZ,177,, 59 , -   , $-   , $-   , -   , -   ,,0, -   ,0.0%,The Joint Commission,,0.0%,,0,Urban,Owned,Proprietary - Corporation,Oracle Cerner - Oracle Cerner-Millennium,Oracle Cerner
Non Team Maike,Tenet Healthcare,Abrazo Arrowhead Campus (FKA Arrowhead Hospital),Hospital,Short Term Acute Care Hospital,18701 N 67th Ave,,Glendale,AZ,176," 15,201 ", 217 , 157 ," $89,937,832 "," $89,937,832 ", 38 ," 9,919 ",2,2, 4.15 ,14.2%,The Joint Commission," $438,035,008 ",14.6%,31-Mar,0,Urban,Owned,Proprietary - Corporation,Oracle Cerner - Oracle Cerner-Millennium,Oracle Cerner
Non Team Maike,Tenet Healthcare,Abrazo Cave Creek Hospital,Hospital,Short Term Acute Care Hospital,5227 E Carefree Hwy,,Cave Creek,AZ,1036757,,, -   , $-   , $-   , -   , -   ,,0, -   ,0.0%,The Joint Commission,,0.0%,,0,Urban,Owned,0,Oracle Cerner,Oracle Cerner
Non Team Maike,Tenet Healthcare,Abrazo Central Campus (FKA Phoenix Baptist Hospital),Hospital,Short Term Acute Care Hospital,2000 W Bethany Home Rd,,Phoenix,AZ,161," 5,081 ", 149 , 67 ," $32,771,040 "," $32,771,040 ", 28 ," 3,983 ",2,1, 4.84 ,15.4%,The Joint Commission," $98,949,960 ",-5.9%,31-Mar,0,Urban,Owned,Proprietary - Corporation,Oracle Cerner - Oracle Cerner-Millennium,Oracle Cerner
Non Team Maike,Tenet Healthcare,Abrazo Scottsdale Campus (FKA Paradise Valley Hospital),Hospital,Short Term Acute Care Hospital,3929 E Bell Rd,,Phoenix,AZ,170," 4,675 ", 128 , 49 ," $20,671,180 "," $20,671,180 ", 14 ," 1,804 ",2,1, 3.86 ,14.5%,The Joint Commission," $129,289,440 ",9.5%,30-Sep,0,Urban,Owned,Proprietary - Corporation,Oracle Cerner - Oracle Cerner-Millennium,Oracle Cerner
Non Team Maike,Tenet Healthcare,Abrazo Surprise Hospital,Hospital,Short Term Acute Care Hospital,16815 W Bell Rd,,Surprise,AZ,1013579,,, -   , $-   , $-   , -   , -   ,,0, -   ,0.0%,The Joint Commission,,0.0%,,0,Urban,Owned,0,Oracle Cerner,Oracle Cerner
Non Team Maike,Tenet Healthcare,Abrazo West Campus (FKA West Valley Hospital),Hospital,Short Term Acute Care Hospital,13677 W McDowell Rd,,Goodyear,AZ,182," 13,528 ", 207 , 159 ," $63,875,388 "," $63,875,388 ", 20 ," 5,857 ",2,1, 4.44 ,14.9%,The Joint Commission," $334,274,144 ",23.3%,30-Apr,0,Urban,Owned,Proprietary - Corporation,Oracle Cerner - Oracle Cerner-Millennium,Oracle Cerner
Khirstyn,Acadia - St Landry Hospital,Acadia - St Landry Hospital,Hospital,Critical Access Hospital,810 S Broadway St,,Church Point,LA,6068, 44 , 15 , 6 , $-   , $-   , -   , -   ,,0, 2.89 ,0.0%,Unknown," $11,937,953 ",-40.6%,30-Jun,Critical Access Hospital,Rural,0,Governmental - Hospital District,TruBridge - CPSI,0
Khirstyn,LHC Group,Acadia Extended Care Hospital,Hospital,Short Term Acute Care Hospital,1305 Crowley Rayne Hwy,Fl 2,Crowley,LA,1043750,,, -   , $-   , $-   , -   , -   ,,0, -   ,0.0%,The Joint Commission,,0.0%,,0,Rural,Owned,0,Epic Systems Corporation,Epic Systems Corporation
Non Team Maike,Allegiance Health Management,Acadian Medical Center,Hospital,Short Term Acute Care Hospital,3501 US-190,,Eunice,LA,1812," 1,286 ", 109 , 14 ," $2,444,417 "," $2,444,417 ", 6 , 508 ,2,3, 3.93 ,15.1%,Unknown," $46,886,812 ",-3.5%,30-Sep,0,Rural,Owned,Proprietary - Corporation,MEDHOST - MEDHOST-Enterprise,MEDHOST
Non Team Maike,Trinity Health (FKA CHE Trinity Health),Adair County Memorial Hospital,Hospital,Critical Access Hospital,609 SE Kent St,,Greenfield,IA,1408, 90 , 25 , 1 , $-   , $-   , -   , -   ,,0, 2.97 ,14.8%,Unknown," $18,014,044 ",-5.6%,30-Jun,Critical Access Hospital,Rural,Managed,Governmental - County,Oracle Cerner - Oracle Cerner-PowerChart,Oracle Cerner - Oracle Cerner-Millennium
Ian,Adams County Regional Medical Center,Adams County Regional Medical Center,Hospital,Critical Access Hospital,230 Medical Center Dr,,Seaman,OH,3078, 385 , 25 , 7 , $-   , $-   , -   , -   ,2,0, 2.57 ,14.9%,The Joint Commission," $41,231,708 ",-8.7%,31-Dec,Critical Access Hospital,Urban,0,Voluntary Nonprofit - Other,MEDHOST,MEDHOST
