Rank,System Name,Definitive ID (validate!!),SFDC Account ID,City,State,Segment,Facilities,Beds,Avg. Beds/Facility,Blank Bed Count,1-50 Beds,51-100 Beds,101-150 Beds,151-200 Beds,201-300 Beds,301-400 Beds,401-500 Beds,501-600 Beds,601+ Beds,Glytec Client - 8.31.25,Glytec ARR - 8.31.25,GC $ Opp,CC $ Opp,Total $ Opp,Adj Total $ Opp
1,HCA Healthcare (FKA Hospital Corporation of America),4710,0016000000fu8QM,Nashville,TN,Enterprise/Strategic, 191 ," 38,726 ", 203 ,11,21,27,30,17,41,25,8,4,7,,  ," $19,851,766 "," $14,888,825 "," $34,740,591 "," $5,000,000 "
2,Department of Veterans Affairs (AKA Veterans Health Administration),7265,0016Q00001WWtZr,Washington,DC,Government, 161 ," 25,260 ", 157 ,17,16,33,26,26,22,11,7,2,1,,  ," $15,048,836 "," $11,286,627 "," $26,335,463 "," $5,000,000 "
3,CommonSpirit Health,981465,0010d00001N8fl9,Chicago,IL,Partner Growth, 149 ," 18,611 ", 125 ,9,56,19,20,13,13,13,3,1,2,Current Client," $106,765 "," $12,290,124 "," $9,217,593 "," $21,507,717 "," $5,000,000 "
4,Trinity Health (FKA CHE Trinity Health),4712,0016000000ftGPu,Livonia,MI,Partner Growth, 86 ," 10,795 ", 126 ,4,40,6,10,5,10,6,3,1,1,Current Client," $45,577 "," $6,993,976 "," $5,245,482 "," $12,239,458 "," $5,000,000 "
5,Ascension Health,4695,0016000000ftGHi,Saint Louis,MO,Enterprise/Strategic, 81 ," 10,410 ", 129 ,8,31,7,11,3,10,7,1,1,2,,  ," $6,704,456 "," $5,028,342 "," $11,732,798 "," $5,000,000 "
6,Tenet Healthcare,4685,001Nt00000Da5tn,Dallas,TX,Enterprise/Strategic, 72 ," 11,052 ", 154 ,18,12,5,9,4,10,12,1,0,1,,  ," $6,367,372 "," $4,775,529 "," $11,142,901 "," $5,000,000 "
7,Community Health Systems (AKA CHS),542233,0016000000i510d,Franklin,TN,Enterprise/Strategic, 66 ," 7,660 ", 116 ,2,14,16,17,7,8,1,1,0,0,,  ," $5,546,376 "," $4,159,782 "," $9,706,158 "," $5,000,000 "
8,LifePoint Health (FKA LifePoint Hospitals),7004,001Nt00000Da6Xh,Brentwood,TN,Enterprise/Strategic, 61 ," 5,718 ", 94 ,3,19,15,13,6,5,0,0,0,0,,  ," $4,641,626 "," $3,481,220 "," $8,122,846 "," $5,000,000 "
9,Kaiser Permanente,4713,0016000000pVHVT,Oakland,CA,Enterprise/Strategic, 59 ," 12,770 ", 216 ,1,9,2,8,8,19,5,3,3,1,,  ," $6,432,514 "," $4,824,386 "," $11,256,900 "," $5,000,000 "
10,AdventHealth (FKA Adventist Health System),4694,0016000000pVHVb,Altamonte Springs,FL,Partner Growth, 55 ," 9,287 ", 169 ,9,10,6,10,4,11,3,0,1,1,Current Client," $2,579,015 "," $4,864,970 "," $3,648,728 "," $8,513,698 "," $5,000,000 "
11,Advocate Health,1057655,0016Q00001lWAAG,Charlotte,NC,Partner Growth, 55 ," 11,142 ", 203 ,3,9,12,6,7,10,1,1,1,5,Current Client," $135,333 "," $5,387,140 "," $4,040,355 "," $9,427,495 "," $5,000,000 "
12,Providence St Joseph Health (AKA Providence),4716,001Nt00000Da6SG,Renton,WA,Enterprise/Strategic, 51 ," 9,787 ", 192 ,1,15,6,4,5,8,5,2,3,2,,  ," $5,008,696 "," $3,756,522 "," $8,765,218 "," $5,000,000 "
13,Prime Healthcare Services,542003,0016000000i512c,Ontario,CA,Enterprise/Strategic, 48 ," 7,390 ", 154 ,0,4,7,18,7,9,2,1,0,0,,  ," $4,649,898 "," $3,487,424 "," $8,137,322 "," $5,000,000 "
14,Baylor Scott & White Health,577357,0016000000UboL5,Dallas,TX,Enterprise/Strategic, 47 ," 4,602 ", 98 ,9,19,4,7,2,3,0,1,0,2,,  ," $3,456,662 "," $2,592,497 "," $6,049,159 "," $5,000,000 "
15,Sanford Health,4754,0010d00001TMlnQ,Sioux Falls,SD,Enterprise/Strategic, 45 ," 2,825 ", 63 ,2,35,2,1,0,3,0,1,1,0,,  ," $2,802,140 "," $2,101,605 "," $4,903,745 "," $4,903,745 "
16,Bon Secours Mercy Health,975303,001Nt00000Da6xD,Cincinnati,OH,Enterprise/Strategic, 42 ," 6,006 ", 143 ,3,11,4,5,7,8,3,0,1,0,,  ," $3,777,202 "," $2,832,902 "," $6,610,104 "," $5,000,000 "
